"pin","state","locs"
"122051","haryana","[28.342_76.93653, 28.35525_76.90062, 28.35541_76.90073]"
"122101","haryana","[28.35766_77.02968, 28.3764_77.02059, 28.39283_77.05492, 28.39452_77.09004, 28.41061_77.0314]"
"122102","haryana","[28.2958_77.03275, 28.2959_77.03284, 28.30319_77.12164, 28.31683_77.06208, 28.31714_77.11418, 28.32527_77.05944, 28.3431_77.10312, 28.35913_77.07841]"
"122103","haryana","[28.13473_77.06594, 28.13667_77.09693, 28.1728_77.07077, 28.184_77.09979, 28.20685_77.05226, 28.20983_77.18275, 28.2142_77.1339, 28.26182_77.19901, 28.27015_77.11773, 28.29072_77.16785, 28.40025_77.06753]"
"122104","haryana","[24.73968_81.44384, 27.58238_76.81436, 27.67718_76.93745, 27.67721_76.93737, 27.67733_76.93742, 27.70517_76.93231, 27.70563_76.93246, 27.73029_76.96014, 27.75574_77.0481, 27.75588_77.04784, 27.7559_77.04786, 27.77819_76.94519, 27.78267_76.98798, 27.78276_76.98835]"
"122105","haryana","[28.2084_77.00808, 28.20973_76.93251, 28.21627_76.90043, 28.23297_76.91412, 28.23725_76.93045, 28.24083_76.86852, 28.24107_76.86864, 28.24134_76.86877, 28.26015_76.98747, 28.26016_76.9874, 28.26766_76.91665, 28.26797_76.92155, 28.27811_76.97135, 28.27886_76.93984, 28.31132_76.9301, 28.33089_76.78358, 29.25353_77.04592, 29.87913_79.27532]"
"122107","haryana","[28.03613_77.01355, 28.04528_77.08282, 28.07325_77.10091, 28.09274_77.05622, 28.09414_77.12633, 28.10206_76.00447, 28.1178_77.03183, 28.11782_77.03179]"
"122108","haryana","[27.84979_76.99569, 27.89488_76.99324, 27.90607_77.08124, 27.91753_76.98369, 27.93896_77.0071, 27.9445_77.04937, 27.97108_77.05984, 29.02376_75.88899]"
"122413","haryana","[28.2624_76.89266, 28.3013_76.83567, 28.28799_76.87187, 28.3013_76.83567, 28.32998_76.88409, 28.33003_76.88397]"
"122414","haryana","[28.27168_76.7401, 28.27169_76.74002, 28.27177_76.74009, 28.27179_76.74012, 28.27199_76.74022, 28.28825_76.68414]"
"122503","haryana","[25.42895_82.88053, 24.49677_92.84247, 25.94906_83.05556, 26.02961_83.18491, 28.27189_76.74016, 28.29366_76.80157, 28.31022_76.80887, 28.31025_76.80894, 28.31026_76.80884, 28.31036_76.80895, 28.34783_76.7536, 28.35395_76.75501, 28.37141_76.83544, 31.5944_75.3706]"
"122504","haryana","[28.34767_76.75367, 28.34767_76.75367, 28.34776_76.75357, 28.35194_76.75197, 28.35199_76.75219, 28.35263_76.7528]"
"122505","haryana","[17.80344_77.46894, 27.04952_81.30158, 27.76831_78.68934, 28.39503_76.90916, 28.42206_76.91464, 28.47333_76.95575, 28.47684_76.91113, 28.50328_76.89938, 29.02722_77.31426]"
"122506","haryana","[17.16092_77.86614, 25.94285_84.2159, 20.63206_77.95657, 27.61547_78.83751, 28.30136_76.83518, 28.32996_76.88395, 28.44391_76.78695, 28.44392_76.78695]"
"122508","haryana","[15.8366_75.05932, 27.80622_77.14578, 27.80997_77.08554, 27.80997_77.08559, 27.81365_77.22914, 27.82468_77.17742, 27.83385_77.13521, 27.83395_77.13524, 27.83916_77.29515, 27.84434_77.30569, 27.84784_77.30724, 27.8486_77.14461, 27.86244_77.20039, 27.86678_77.25001, 27.89542_77.10854, 27.90507_77.20836, 27.90624_77.08131, 27.91609_77.17504, 27.95077_77.14209, 27.96556_77.10586]"
"123001","haryana","[28.04411_76.10528, 27.92838_75.94214, 27.95076_76.09956, 27.9683_76.00728, 27.97922_76.01567, 27.97999_76.10487, 27.98206_76.15166, 27.99995_75.99427, 28.00502_76.04152, 28.00509_76.04132, 28.00691_76.11529, 28.05011_76.11689, 28.02929_76.03788, 28.04817_76.10689, 28.07127_76.14169, 28.10601_75.98259, 28.11909_76.01766, 28.14933_76.16641, 28.44861_77.02931]"
"123021","haryana","[25.01503_85.64082, 25.24694_81.79338, 23.8786_80.56134, 25.7547_85.10981, 26.43016_89.45018, 26.43019_89.4502, 28.04872_76.30646, 28.04961_76.3437, 28.07709_76.28706, 28.08287_76.17732, 28.0877_76.23041, 28.09063_76.20105, 28.10014_76.26072, 28.11388_76.32746, 28.12174_76.28361, 28.13563_76.22576, 28.14243_76.28599, 28.15973_76.2664, 28.16311_76.19923, 28.18981_76.21413, 28.19558_76.29624, 28.20924_76.2437]"
"123023","haryana","[22.07909_87.95632, 27.81855_76.16587, 27.84232_76.19062, 27.85117_76.15818, 27.85119_76.15817, 27.85601_76.12825, 27.86411_75.98485, 27.89018_76.04187, 27.89164_76.11131, 27.92204_76.13206, 27.93278_76.06952, 27.93414_76.15159, 27.93725_76.03599, 27.94591_76.13292, 28.4246_77.82168]"
"123024","haryana","[26.34268_77.5363, 26.75333_76.16605, 27.42369_76.47532, 28.30729_76.03051, 28.30831_76.01533, 28.33436_76.00614, 28.33528_75.9604, 28.35373_76.01822, 28.37336_76.06879, 28.37624_76.01019, 28.37833_75.96569, 28.39223_75.93309, 28.39998_75.95909, 28.42747_75.94117]"
"123027","haryana","[26.52584_81.19721, 28.26969_76.31706, 28.28365_76.25184, 28.29255_76.31017, 28.3098_76.25354, 28.31129_76.32501, 28.32232_76.30166, 28.33339_76.30528, 28.34575_76.33794, 28.3535_76.25502, 28.37493_76.28726, 28.3864_76.22597, 28.41152_76.2187, 28.42146_76.26946, 28.42439_76.22536, 28.4332_76.21532, 28.44421_76.22255]"
"123028","haryana","[27.89164_76.11131, 28.17206_76.14614, 28.1751_76.1122, 28.18371_76.09794, 28.20418_76.17574]"
"123029","haryana","[28.20414_76.07046, 28.21794_76.09169, 28.22259_76.15617, 28.24438_76.07504, 28.25933_76.14723, 28.25997_76.18006, 28.26183_76.0544, 28.26533_76.14394, 28.26558_76.10888, 28.29497_76.10477, 28.31598_76.18006, 28.31627_76.12524, 28.33755_76.1362, 28.33989_76.07778, 28.34353_76.16385, 28.37333_76.18463, 28.40784_76.17329, 28.40822_76.11619, 28.41659_76.14483]"
"123031","haryana","[28.35101_76.146]"
"123034","haryana","[28.23349_76.29746, 28.24059_76.18419, 28.24777_76.26613, 28.25646_76.31037, 28.2764_76.18608, 28.29984_76.21052, 28.32875_76.22283, 28.38431_76.18314]"
"123035","haryana","[28.34753_76.75348, 28.35617_76.62175, 28.3836_76.64249, 28.38378_76.6424, 28.3838_76.64185, 28.38388_76.64203]"
"123101","haryana","[28.14675_76.51772, 28.1789_76.48664, 28.18049_76.51637, 28.20439_76.46617, 28.209_76.88411, 28.21553_76.52393, 28.22494_76.45582]"
"123102","haryana","[25.66565_82.62459, 24.448_80.19807, 25.96091_75.91155, 26.61869_78.628, 27.0704_76.94347, 27.12441_77.15778, 28.11849_76.437, 28.15019_76.39928, 28.16397_76.45656, 28.17269_76.35843, 28.17692_76.32855, 28.18687_76.38165, 28.18701_76.38178, 28.18868_76.44776, 28.19975_76.35229, 29.16956_76.0616, 30.10366_78.76559]"
"123103","haryana","[22.25851_75.52496, 28.17281_76.402, 28.20751_76.41573, 28.2146_76.41817, 28.22782_76.36685, 28.23163_76.41772, 28.2439_76.39036]"
"123106","haryana","[28.03891_75.75452, 28.15332_76.78122, 28.15885_76.71525, 28.17368_76.75565, 28.1737_76.7555, 28.19463_76.72109, 28.19972_76.76717, 28.20507_76.73144, 28.20507_76.73157, 28.20515_76.73144, 28.20518_76.73126, 28.20525_76.73142, 28.21474_76.82126, 28.21479_76.82133, 28.2295_76.84974]"
"123110","haryana","[28.23356_77.80328]"
"123301","haryana","[21.24394_73.27545, 28.35719_76.5355, 28.38462_76.53596, 28.39089_76.61488, 28.39092_76.6148, 28.39249_76.59351]"
"123302","haryana","[23.06487_86.18956, 21.79497_81.54995, 28.35109_76.45375, 28.35916_76.49873, 28.36502_76.42823, 28.37127_76.47653, 28.37603_76.45039, 28.38024_76.43174, 28.39046_76.51645, 28.39377_76.49732, 28.39619_76.44136, 28.40022_76.48392, 28.4055_76.43641, 28.41251_76.46319, 28.41603_76.47508]"
"123303","haryana","[23.06143_84.11096, 23.8319_73.60342, 22.68167_73.66885, 22.12946_75.04535, 27.6741_76.66199, 28.36585_76.40249, 28.38088_76.41246, 28.38509_76.37008, 28.38547_76.33832, 28.39337_76.31755, 28.39664_76.34635, 28.41206_76.398, 28.41889_76.3079, 28.42207_76.39212, 28.42995_76.43414, 28.45079_76.3465, 28.4571_76.40245]"
"123401","haryana","[28.107_76.68572, 28.12611_76.60271, 28.12646_76.55067, 28.14574_76.56859, 28.16694_76.54693, 28.16842_76.65696, 28.16846_76.65698, 28.18308_76.61283, 28.18775_76.60511, 28.19011_76.61189, 28.1968_76.67393, 28.19684_76.67403, 28.20299_76.56151, 28.20442_76.55006, 28.20559_76.6015, 28.22756_76.61394, 28.23044_76.57267, 28.25762_76.52037, 28.25763_76.61002, 28.2596_76.55645, 28.29194_76.6089, 28.29745_76.5875, 28.30624_76.51316, 28.31997_76.59965, 28.33116_76.53741, 28.39375_76.61597]"
